Latitude,Longitude
39.8534572000,3.1229268000
39.8534572000,3.1229268000
39.8532106000,3.1231613000
39.8531275000,3.1232403000
39.8531343000,3.1232338000
39.8531275000,3.1232403000
39.8506924000,3.1182256000
39.8530340000,3.1232879000
39.8532622300,3.1228293600
39.8532821000,3.1227701000
39.8532753000,3.1227889000
39.8532622200,3.1228294900
39.8532633100,3.1228274600
39.8532726000,3.1227961000
39.8532612200,3.1228280900
39.8532698000,3.1228025000
39.8532528800,3.1228302300
39.8532649000,3.1228091000
39.8532528700,3.1228307600
39.8532611000,3.1228145000
39.8534572000,3.1229268000
39.8532524800,3.1228319400
39.8532578000,3.1228196000
39.8532567000,3.1228188000
39.8532582000,3.1228591000
39.8532525000,3.1228322200
39.8532584000,3.1228577000
39.8532583000,3.1228566000
39.8532573000,3.1228595000
39.8532564000,3.1228620000
39.8532525200,3.1228324100
39.8532552000,3.1228620000
39.8532645000,3.1232639000
39.8532499000,3.1228304000
39.8532547000,3.1228808900
39.8532632000,3.1232489000
39.8532605000,3.1232489000
39.8532547300,3.1228810900
39.8532558000,3.1232508000
39.8532553000,3.1232495000
39.8532507200,3.1228885800
39.8532471000,3.1232511000
39.8532466000,3.1232484000
39.8532420000,3.1232505000
39.8532507300,3.1228887100
39.8532383000,3.1232523000
39.8532358000,3.1232540000
39.8532336000,3.1232577000
39.8532507300,3.1228887100
39.8532323000,3.1232609000
39.8532313000,3.1232655000
39.8532305000,3.1232701000
39.8532519700,3.1228883400
39.8532301000,3.1232738000
39.8532291000,3.1232789000
39.8533036000,3.1234339000
39.8532390000,3.1233663000
39.8533053800,3.1229982000
39.8532382000,3.1233656000
39.8532374000,3.1233692000
39.8533099500,3.1230390900
39.8532365000,3.1233729000
39.8532318000,3.1233783000
39.8532297000,3.1233751000
39.8533086600,3.1230934200
39.8532283000,3.1233742000
39.8532260000,3.1233769000
39.8533325700,3.1231374100
39.8532249000,3.1233784000
39.8532213000,3.1233766000
39.8532186000,3.1233775000
39.8532168000,3.1233793000
39.8533794400,3.1231749800
39.8532140000,3.1233776000
39.8532669000,3.1238390000
39.8532142000,3.1233872000
39.8533885600,3.1232557300
39.8532149000,3.1233925000
39.8532114000,3.1233983000
39.8532104000,3.1234034000
39.8533935100,3.1233072900
39.8532070000,3.1234090000
39.8532044000,3.1234137000
39.8534237900,3.1233712900
39.8532001000,3.1234214000
39.8531988000,3.1234248000
39.8534335800,3.1234325600
39.8531993000,3.1234332000
39.8531988000,3.1234395000
39.8534325300,3.1234909000
39.8532015000,3.1234472000
39.8534971000,3.1236871000
39.8532014000,3.1234474000
39.8532039000,3.1234768000
39.8534514300,3.1235548100
39.8532182000,3.1235029000
39.8534760300,3.1236052800
39.8532449000,3.1235261000
39.8532683000,3.1235503000
39.8532774000,3.1235602000
39.8535021200,3.1236462400
39.8532914000,3.1235704000
39.8532988000,3.1235771000
39.8533105000,3.1235853000
39.8533187000,3.1235936000
39.8535262200,3.1236940100
39.8534971000,3.1236871000
39.8533560000,3.1236019000
39.8533616000,3.1236160000
39.8535428400,3.1237462600
39.8533630000,3.1236191000
39.8533772000,3.1236302000
39.8535512800,3.1237862000
39.8533833000,3.1236378000
39.8533885000,3.1236505000
39.8533899000,3.1236592000
39.8535511600,3.1238264200
39.8533920000,3.1236699000
39.8533916000,3.1236780000
39.8535484700,3.1238652900
39.8533916000,3.1236870000
39.8533863000,3.1237019000
39.8535331400,3.1238766600
39.8533827000,3.1237057000
39.8533832000,3.1237082000
39.8535091600,3.1238824000
39.8533745000,3.1237137000
39.8533594000,3.1240399000
39.8533784000,3.1237138000
39.8533653000,3.1237352000
39.8533621000,3.1237382000
39.8534767500,3.1238973900
39.8533569000,3.1237466000
39.8534488700,3.1239284500
39.8533511000,3.1237545000
39.8533449000,3.1237757000
39.8534422900,3.1239736200
39.8533493000,3.1238008000
39.8533521000,3.1238081000
39.8534488900,3.1240127100
39.8533595000,3.1238273000
39.8533662000,3.1238431000
39.8534561300,3.1240456900
39.8534769000,3.1241847000
39.8533690000,3.1238743000
39.8533745000,3.1238950000
39.8534573200,3.1240812200
39.8533751000,3.1239028000
39.8533798000,3.1239143000
39.8534558500,3.1241224700
39.8533848000,3.1239304000
39.8533875000,3.1239384000
39.8533962000,3.1239543000
39.8534567100,3.1241641400
39.8534025000,3.1239802000
39.8534063000,3.1239964000
39.8534578300,3.1242058400
39.8534098000,3.1240164000
39.8534616800,3.1242391300
39.8534163000,3.1240419000
39.8534177000,3.1240500000
39.8534389000,3.1241481000
39.8534234000,3.1240652000
39.8534673600,3.1242730000
39.8534306000,3.1240770000
39.8534407000,3.1240888000
39.8534706200,3.1242963400
39.8534495000,3.1240930000
39.8534558000,3.1240907000
39.8534606000,3.1240864000
39.8534795700,3.1243081500
39.8534650000,3.1240828000
39.8534683000,3.1240774000
39.8534728000,3.1240744000
39.8534903100,3.1243140100
39.8534772000,3.1240749000
39.8534807000,3.1240842000
39.8534839000,3.1240935000
39.8534979600,3.1243165600
39.8534840000,3.1241041000
39.8534812000,3.1241162000
39.8534798000,3.1241336000
39.8534917000,3.1244788000
39.8534776000,3.1241717000
39.8535165100,3.1243407300
39.8534772000,3.1241676000
39.8534716000,3.1241797000
39.8534703000,3.1241927000
39.8534705000,3.1242043000
39.8535477300,3.1243722600
39.8534700000,3.1242258000
39.8534706000,3.1242402000
39.8534720000,3.1242540000
39.8535855600,3.1243950400
39.8534728000,3.1242718000
39.8534748000,3.1242880000
39.8534770000,3.1243014000
39.8536160700,3.1244106400
39.8534798000,3.1243167000
39.8534830000,3.1243325000
39.8536545500,3.1244302700
39.8534869000,3.1243462000
39.8534903000,3.1243645000
39.8534919000,3.1243791000
39.8538412000,3.1245367000
39.8537040200,3.1244487500
39.8535118000,3.1244226000
39.8535162000,3.1244319000
39.8535192000,3.1244442000
39.8537583500,3.1244664700
39.8535210000,3.1244507000
39.8535265000,3.1244548000
39.8535335000,3.1244662000
39.8535394000,3.1244781000
39.8538102600,3.1244873600
39.8535562000,3.1244867000
39.8535666000,3.1244964000
39.8535749000,3.1245065000
39.8538587400,3.1245186900
39.8535897000,3.1245137000
39.8535996000,3.1245235000
39.8536074000,3.1245356000
39.8539062600,3.1245480400
39.8536188000,3.1245406000
39.8536262000,3.1245500000
39.8540018000,3.1244955000
39.8536450000,3.1245768000
39.8539700500,3.1245781600
39.8537938000,3.1246041000
39.8540174300,3.1246000700
39.8540370200,3.1246259200
39.8537494000,3.1246240000
39.8537330000,3.1246263000
39.8540444100,3.1246570200
39.8537270000,3.1246196000
39.8537279000,3.1246117000
39.8537290000,3.1246035000
39.8537314000,3.1245985000
39.8540506900,3.1246846400
39.8537424000,3.1245898000
39.8537519000,3.1245889000
39.8537595000,3.1245884000
39.8540626100,3.1247239100
39.8537792000,3.1246000000
39.8537914000,3.1246088000
39.8540769500,3.1247630900
39.8537990000,3.1246155000
39.8538203000,3.1246412000
39.8538283000,3.1246526000
39.8540839700,3.1248012000
39.8538354000,3.1246615000
39.8538405000,3.1246681000
39.8538500000,3.1246815000
39.8538589000,3.1246911000
39.8541013100,3.1248448100
39.8538718000,3.1247037000
39.8538820000,3.1247125000
39.8538923000,3.1247202000
39.8541255100,3.1248876300
39.8539035000,3.1247295000
39.8539153000,3.1247395000
39.8541494000,3.1249346500
39.8539255000,3.1247484000
39.8539464000,3.1247594000
39.8539651000,3.1247686000
39.8541533500,3.1249633900
39.8539771000,3.1247739000
39.8540425000,3.1247913000
39.8540607000,3.1247972000
39.8541585500,3.1249919800
39.8540823000,3.1248047000
39.8540986000,3.1248105000
39.8541118000,3.1248142000
39.8541730100,3.1250275000
39.8541296000,3.1248223000
39.8541437000,3.1248247000
39.8541871100,3.1250518300
39.8541574000,3.1248255000
39.8541695000,3.1248306000
39.8541823000,3.1248337000
39.8542040500,3.1250727800
39.8541875000,3.1248449000
39.8541926000,3.1248519000
39.8542037000,3.1248572000
39.8542152000,3.1248615000
39.8542252700,3.1250912200
39.8542264000,3.1248880000
39.8542372000,3.1248969000
39.8542480000,3.1249031000
39.8542458300,3.1251074600
39.8542561000,3.1249237000
39.8542657000,3.1249360000
39.8542683400,3.1251318900
39.8542695000,3.1249518000
39.8542793000,3.1249702000
39.8542884000,3.1249798000
39.8542776200,3.1251519900
39.8542944000,3.1250024000
39.8543015000,3.1250118000
39.8543093000,3.1250202000
39.8542822900,3.1251710100
39.8543158000,3.1250369000
39.8543212000,3.1250507000
39.8543254000,3.1250632000
39.8542826800,3.1251901300
39.8540957000,3.1253786000
39.8543262000,3.1250825000
39.8543260000,3.1250973000
39.8542518900,3.1252071400
39.8543249000,3.1251067000
39.8543238000,3.1251142000
39.8543213000,3.1251266000
39.8543178000,3.1251388000
39.8542197900,3.1252290100
39.8543130000,3.1251509000
39.8543078000,3.1251629000
39.8543023000,3.1251738000
39.8541854100,3.1252468100
39.8542958000,3.1251842000
39.8542905000,3.1251934000
39.8541563200,3.1252610900
39.8542856000,3.1252017000
39.8542775000,3.1252122000
39.8542710000,3.1252210000
39.8541317900,3.1252773500
39.8542665000,3.1252250000
39.8542623000,3.1252293000
39.8542551000,3.1252378000
39.8542474000,3.1252463000
39.8541080800,3.1252945600
39.8542385000,3.1252529000
39.8542227000,3.1252674000
39.8540866200,3.1253151300
39.8542115000,3.1252756000
39.8542008000,3.1252836000
39.8540586500,3.1253376400
39.8541935000,3.1252871000
39.8541803000,3.1252955000
39.8541716000,3.1253023000
39.8540279500,3.1253526900
39.8541669000,3.1253059000
39.8541539000,3.1253154000
39.8541446000,3.1253232000
39.8539980600,3.1253716000
39.8541254000,3.1253279000
39.8541104000,3.1253332000
39.8540984000,3.1253394000
39.8539722000,3.1253949900
39.8540795000,3.1253451000
39.8540660000,3.1253509000
39.8539532000,3.1254187700
39.8540568000,3.1253558000
39.8540318000,3.1253659000
39.8540205000,3.1253740000
39.8539289400,3.1254431100
39.8539995000,3.1253859000
39.8539873000,3.1253946000
39.8539777000,3.1254026000
39.8539099000,3.1254705000
39.8539636000,3.1254173000
39.8539548000,3.1254269000
39.8538838300,3.1254947300
39.8539484000,3.1254343000
39.8539380000,3.1254481000
39.8539315000,3.1254594000
39.8539276000,3.1254668000
39.8538609100,3.1255286400
39.8539237000,3.1254735000
39.8537063000,3.1257478000
39.8539219000,3.1254813000
39.8539115000,3.1255109000
39.8538476100,3.1255703900
39.8539114000,3.1255133000
39.8539108000,3.1255212000
39.8539123000,3.1255307000
39.8539158000,3.1255411000
39.8538835200,3.1255903500
39.8539201000,3.1255505000
39.8539259000,3.1255590000
39.8539073900,3.1256067300
39.8539299000,3.1255644000
39.8539393000,3.1255753000
39.8539464000,3.1255829000
39.8539304100,3.1256246900
39.8539497000,3.1255863000
39.8539544000,3.1255911000
39.8539617000,3.1255975000
39.8539694000,3.1256048000
39.8539539800,3.1256386500
39.8539769000,3.1256126000
39.8539033000,3.1259156000
39.8539885000,3.1256475000
39.8539899000,3.1256520000
39.8539740100,3.1256559300
39.8539946000,3.1256568000
39.8540000000,3.1256626000
39.8539894000,3.1256688500
39.8540037000,3.1256669000
39.8540129000,3.1256772000
39.8540195000,3.1256852000
39.8540108800,3.1256974700
39.8540262000,3.1256958000
39.8540323000,3.1257069000
39.8540368000,3.1257180000
39.8540293200,3.1257353500
39.8540401000,3.1257299000
39.8540418000,3.1257422000
39.8540415000,3.1257519000
39.8540160400,3.1257750200
39.8540377000,3.1257666000
39.8539056000,3.1259512000
39.8540041000,3.1258108000
39.8539976100,3.1257941700
39.8540015000,3.1258112000
39.8539969000,3.1258122000
39.8539894000,3.1258180000
39.8539815000,3.1258237000
39.8539765300,3.1258145900
39.8539787000,3.1258253000
39.8539737000,3.1258272000
39.8539662000,3.1258318000
39.8539579000,3.1258371000
39.8539556400,3.1258254900
39.8539504000,3.1258419000
39.8539419000,3.1258478000
39.8539387500,3.1258376300
39.8539362000,3.1258521000
39.8539275000,3.1258592000
39.8539211000,3.1258650000
39.8539225000,3.1258485800
39.8539179000,3.1258679000
39.8539147000,3.1258713000
39.8537760000,3.1260640000
39.8539095000,3.1258765000
39.8538808000,3.1259041000
39.8539063600,3.1258622100
39.8538752000,3.1259088000
39.8538680000,3.1259155000
39.8538894000,3.1258785900
39.8538606000,3.1259221000
39.8538537000,3.1259287000
39.8538464000,3.1259367000
39.8538418000,3.1259418000
39.8538733100,3.1258999700
39.8538336000,3.1259528000
39.8538273000,3.1259608000
39.8538593600,3.1259183600
39.8538219000,3.1259707000
39.8538157000,3.1259800000
39.8538090000,3.1259886000
39.8538455300,3.1259434500
39.8538024000,3.1260002000
39.8536458000,3.1262188000
39.8537751000,3.1260481000
39.8537726000,3.1260524000
39.8538281300,3.1259704800
39.8537672000,3.1260568000
39.8537601000,3.1260619000
39.8538071600,3.1259926500
39.8537550000,3.1260647000
39.8537448000,3.1260712000
39.8537363000,3.1260768000
39.8537863600,3.1260090300
39.8537324000,3.1260786000
39.8537273000,3.1260813000
39.8537196000,3.1260849000
39.8537109000,3.1260890000
39.8537647500,3.1260203700
39.8537023000,3.1260923000
39.8536937000,3.1260961000
39.8536852000,3.1261001000
39.8537496800,3.1260264000
39.8536757000,3.1261042000
39.8535393000,3.1262235000
39.8536369000,3.1261507000
39.8537210400,3.1260316000
39.8536338000,3.1261548000
39.8536248000,3.1261601000
39.8536169000,3.1261647000
39.8536874300,3.1260407900
39.8536133000,3.1261667000
39.8536097000,3.1261725000
39.8536018000,3.1261797000
39.8535937000,3.1261864000
39.8536664800,3.1260467700
39.8535860000,3.1261920000
39.8535778000,3.1261974000
39.8535686000,3.1262033000
39.8536469500,3.1260532200
39.8535610000,3.1262075000
39.8535523000,3.1262127000
39.8536279600,3.1260502100
39.8535470000,3.1262150000
39.8535348000,3.1262212000
39.8534512000,3.1262196000
39.8534981000,3.1262259000
39.8536053900,3.1260482400
39.8534946000,3.1262243000
39.8534870000,3.1262275000
39.8534784000,3.1262315000
39.8535680100,3.1260556600
39.8534705000,3.1262366000
39.8534613000,3.1262425000
39.8534518000,3.1262480000
39.8535330000,3.1260575100
39.8534426000,3.1262552000
39.8534332000,3.1262612000
39.8535140600,3.1260461200
